
Tarifa: Publico general 2026

Tipo,Código,Abreviatura,Descripción,Importe
Pruebas,1992,GAD65,ANTICUERPOS ANTI ÁCIDO GLUTÁMICO DESCARBOXILASA (GAD-65),0
Pruebas,2362,ANTIACTINA,ANTICUERPOS ANTI ACTINA (IgG),0
Pruebas,57,AcAntiAgCoreHepaIgM,"ANTICUERPOS ANTI Ag ""CORE"" HEPATITIS B IgM",0
Pruebas,57,AcAntiAgCoreIgM,"ANTICUERPOS ANTI Ag ""CORE"" HEPATITIS B IgM",0
Pruebas,59,acAntihepaCpresun,ANTICUERPOS ANTI HEPATITIS C (PRUEBA PRESUNTIVA),0
Pruebas,425,PEROXI,ANTICUERPOS ANTI MICROSOMALES TOTALES (PEROXIDASA),495
Pruebas,498,ANA,ANTICUERPOS ANTI NUCLEARES (IgG),685
Pruebas,3465464,P31,Anticuerpos anti P 31,0
Pruebas,65456412,P51,Anticuerpos anti P 51,0
Pruebas,56456,P55,Anticuerpos anti P 55 (GAG),0
Pruebas,6542324,P66,Anticuerpos anti P 66,0
Pruebas,574,Sm,ANTICUERPOS ANTI SMITH IgG (Sm),555
Pruebas,65,TIRO,ANTICUERPOS ANTI TIROGLOBULINA (COLOIDE TIROIDEO),0
Pruebas,ANTITBS,ANTITBS,ANTICUERPOS ANTI TUBERCULOSIS IgG,0
Pruebas,ANTITB,ANTITB,ANTICUERPOS ANTI TUBERCULOSIS IgM,0
Pruebas,ZIKA,ZIKA,"ANTICUERPOS ANTI ZIKA IgM, IgG",2398
Pruebas,921216,TB,"ANTICUERPOS ANTITUBERCULOSIS (IgG,IgM,IgA)",1008
Pruebas,11102022,IGGZIKA,ANTICUERPOS IGG,0
Pruebas,11102022,IGMZIKA,ANTICUERPOS IGM,0
Pruebas, SCL-70 ,SCL70,ANTICUERPOS SCL-70 (ESCLERODERMIA (TOPOISOMERASA),1038
Pruebas,53,AGEHB,"ANTIGENO ""E"" DE HEPATITIS B (AGEHB)",0
Pruebas,54,australia,"ANTIGENO ""S"" DE HEPATITIS B (AUSTRALIA)",0
Pruebas,5465,agaviario,Antigeno Aviario,1725
Pruebas,1205,CA724,ANTIGENO CA 72-4,780
Pruebas,631,CA125,ANTIGENO CA-125,555
Pruebas,632,CA153,ANTIGENO CA-15-3,575
Pruebas,ANTIGENO CA-19-9,CA199,ANTIGENO CA-19-9,540
Pruebas,611-ORT,ACE,ANTIGENO CARCINOEMBRIONARIO,388
Pruebas,2132,CYFRA21,ANTIGENO CYFRA 21,905
Pruebas,HE4,HE4,ANTIGENO HE4,2280
Pruebas,PSA,PSA,ANTIGENO PROSTATICO ESPECIFICO (PSA),388
Pruebas,2301,PSL,ANTIGENO PROSTATICO FRACCION LIBRE,525
